ID;Part Number;Description;Value;Footprint;Price;Stock;Container;Notes
IFS08-dd2ea524-18e3-453b-9c6f-d93d28a21e4c;BZT52C12-HE3-08;Diodos Zener 12V;;;;4;;
IFS08-0a6f9dc3-a853-4390-ab24-600199bb1e4e;;Sensor de temperatura IR;;;;2;;
IFS08-38fe4c21-c111-494e-b8c2-9428a43ba5e8;;Fusible 32V 25A;;0603;;6;;
IFS08-611f442b-9421-42cc-9211-d60404582524;;Inductor 12 uH;;1206;;7;;
IFS08-4f794f3b-eac4-49b4-9265-a3eabb979bcd;;Header 2.54;2x05M;;;1;;
IFS08-483ab7fe-7053-4f51-a373-eebc1c33983e;;Capacitor 4.7nF;;0805;;25;;
IFS08-3fd69146-5f1a-46d3-8757-24b2d5a2066b;;Capacitor 1nF;;0603;;3;;
IFS08-2ecdd2fd-d577-429a-a1db-e5de9a246e26;;Resistor 100;100;0603;;1;;
IFS08-d5674c44-ecf3-4832-b802-ae34189f9553;;Resistor 330;;0603;;5;;
IFS08-50fbc3e0-ac17-4856-941a-cbb5a479e65d;;Supresores ESD 12V;;;;7;;
IFS08-7f294450-2c14-4b12-b2c2-82221769ae1c;;D esd protection 10nA;;;;3;;
IFS08-09d3db4f-0e66-4bf6-8a55-f4440ace13d1;;Rect 1A 800V;;;;2;;
IFS08-79f53f16-08be-407a-a3a4-561a35984f71;NE555P;Temporizador;;;;6;;
IFS08-6df5825e-ac49-45f2-b4dd-f0d85bbe89fa;;N Mosfet 80V 100A;;;;8;;
IFS08-72d98d52-dfbd-46c9-9bca-b202338a9f68;NDS01V;Conmuntadores;;;;5;;
IFS08-499d4b57-c2eb-43f5-b934-2fd258ffa428;;P Mosfet 40V;;;;8;;
IFS08-bce58fe7-9d20-4a2c-9d3a-9fd68bc2645c;;Capacitor 10pF;;0805;;6;;
IFS08-162fdbff-482c-40a8-9130-6268277964e7;;Capacitor 100mF;;0805;;10;;
IFS08-16a75ed7-97c7-4c25-9594-173b8006ffe2;NSI45090JDT4G;;;;;7;;
IFS08-1d7bad22-0a91-4d24-bcc2-c7ec8fb1a8d1;;OSC 16MHz;;;;10;;
IFS08-5cb0a99a-4dbd-49e0-b853-068719420923;;Resistor 0.5m;0.5;2512;;9;;
IFS08-5d386484-ac9a-47d9-9984-a38ffe693675;;Resistor 1k5;1k5;0603;;30;;
IFS08-4eb31bf3-ab5f-48f8-abe1-4ac5133e5720;;SW Diodo Schottky 100V;;SOT123;;9;;
IFS08-4a89ffb1-4930-4079-bed3-9fdd3ce2e3ec;74AHC1G02WQ-7;NOR Gate;;;;6;;
IFS08-5925361f-0bc4-4180-99bd-55027c711042;;Resistor 0;0;0805;;15;;
IFS08-4401caa2-0b3d-48c7-913c-274601bb077a;;Resistor 60.4;60.4;0805;;10;;
IFS08-c08330f4-c009-4731-8666-9d8874b6c435;;LED green CS8PM;;;;15;;
IFS08-23a2192e-9ef4-4c01-8736-544ea502f43b;;LED red CS8PM;;;;15;;
IFS08-e8200d57-7ac3-4c9e-a0fd-be7ef3eb9217;;Diodo schottky 20V 1A;;;;10;;
IFS08-885a3257-034a-4287-8720-cfbe6026592b;74AHC1G86W5-7;Single 2 input POS 0;;;;4;;
IFS08-5a20ce13-ff8e-4be6-b141-e3b20be558d7;;DPAK 90mA;;DPAK;;10;;
